0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:47:04 +0800] "GET /bjsxt/resources/layui_ext/dtree/font/dtreefont.css HTTP/1.1" 200 4292
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:47:04 +0800] "GET /bjsxt/resources/layui_ext/dist/dtree.js HTTP/1.1" 200 99459
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:47:04 +0800] "GET /bjsxt/resources/layui/lay/modules/table.js HTTP/1.1" 200 31323
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:47:04 +0800] "GET /bjsxt/resources/layui/css/modules/layer/default/loading-1.gif HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:47:04 +0800] "GET /bjsxt/resources/layui/lay/modules/laytpl.js HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:47:04 +0800] "GET /bjsxt/resources/layui/lay/modules/laypage.js HTTP/1.1" 200 4472
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:47:04 +0800] "GET /bjsxt/resources/layui/lay/modules/util.js HTTP/1.1" 200 3622
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:47:04 +0800] "POST /bjsxt/menu/loadMenuManagerLeftTreeJson.action?spread=1 HTTP/1.1" 200 3177
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:47:04 +0800] "GET /bjsxt/menu/loadAllMenu.action?page=1&limit=10 HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:47:04 +0800] "POST /bjsxt/menu/loadMenuManagerLeftTreeJson.action?spread=1 HTTP/1.1" 200 3177
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:47:04 +0800] "GET /bjsxt/resources/layui_ext/dtree/font/dtreefont.ttf?x3m8fp HTTP/1.1" 200 19344
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:47:06 +0800] "GET /bjsxt/car/toCarManager.action HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:47:07 +0800] "GET /bjsxt/customer/toCustomerManager.action HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:47:13 +0800] "GET /bjsxt/customer/toCustomerManager.action HTTP/1.1" 404 1109
