0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:24:56 +0800] "GET /bjsxt/resources/layui/lay/modules/element.js HTTP/1.1" 200 7264
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:24:56 +0800] "GET /bjsxt/menu/loadIndexLeftMenuJson.action HTTP/1.1" 200 2994
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:24:56 +0800] "GET /bjsxt/login/favicon.ico HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:24:56 +0800] "GET /bjsxt/news/loadAllNews.action?page=1&limit=10 HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:25:01 +0800] "GET /bjsxt/news/loadNewsById.action?id=5 HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:25:01 +0800] "GET /bjsxt/resources/layui/css/modules/layer/default/icon.png HTTP/1.1" 200 11493
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:25:12 +0800] "GET /bjsxt/customer/toCustomerManager.action HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:25:20 +0800] "GET /bjsxt/rent/toRentCarManager.action HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:25:22 +0800] "GET /bjsxt/rent/toRentManager.action HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:25:23 +0800] "GET /bjsxt/check/toCheckCarManager.action HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:25:24 +0800] "GET /bjsxt/check/toCheckManager.action HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:25:49 +0800] "GET /bjsxt/tjfx/toCustomerAreaTj.action HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:26:44 +0800] "GET /bjsxt/sys/toMenuManager.action HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:26:44 +0800] "GET /bjsxt/sys/toMenuRight.action HTTP/1.1" 200 12040
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:26:44 +0800] "GET /bjsxt/resources/layui_ext/dtree/dtree.css HTTP/1.1" 200 5227
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:26:44 +0800] "GET /bjsxt/resources/layui_ext/dtree/font/dtreefont.css HTTP/1.1" 200 4292
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:26:44 +0800] "GET /bjsxt/sys/toMenuLeft.action HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:26:44 +0800] "GET /bjsxt/resources/layui/lay/modules/table.js HTTP/1.1" 200 31323
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:26:44 +0800] "GET /bjsxt/resources/layui_ext/dist/dtree.js HTTP/1.1" 200 99459
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:26:44 +0800] "GET /bjsxt/resources/layui/lay/modules/laytpl.js HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:26:44 +0800] "GET /bjsxt/resources/layui/css/modules/layer/default/loading-1.gif HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:26:44 +0800] "GET /bjsxt/resources/layui/lay/modules/laypage.js HTTP/1.1" 200 4472
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:26:44 +0800] "GET /bjsxt/resources/layui/lay/modules/util.js HTTP/1.1" 200 3622
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:26:44 +0800] "POST /bjsxt/menu/loadMenuManagerLeftTreeJson.action?spread=1 HTTP/1.1" 200 3177
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:26:44 +0800] "GET /bjsxt/menu/loadAllMenu.action?page=1&limit=10 HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:26:44 +0800] "POST /bjsxt/menu/loadMenuManagerLeftTreeJson.action?spread=1 HTTP/1.1" 200 3177
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:26:44 +0800] "GET /bjsxt/resources/layui_ext/dtree/font/dtreefont.ttf?x3m8fp HTTP/1.1" 200 19344
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:26:45 +0800] "GET /bjsxt/role/toRoleManager.action HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:26:52 +0800] "GET /bjsxt/menu/loadAllMenu.action?id=15&page=1&limit=10 HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:26:54 +0800] "GET /bjsxt/menu/loadAllMenu.action?id=16&page=1&limit=10 HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:26:55 +0800] "GET /bjsxt/menu/loadAllMenu.action?id=17&page=1&limit=10 HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:26:56 +0800] "GET /bjsxt/menu/loadAllMenu.action?id=16&page=1&limit=10 HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:27:04 +0800] "GET /bjsxt/menu/loadAllMenu.action?id=17&page=1&limit=10 HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:27:13 +0800] "GET /bjsxt/news/toNewsManager.action HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:27:14 +0800] "GET /bjsxt/druid/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:27:14 +0800] "GET /bjsxt/druid/login.html HTTP/1.1" 200 3423
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:27:14 +0800] "GET /bjsxt/druid/css/bootstrap.min.css HTTP/1.1" 200 95686
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:27:14 +0800] "GET /bjsxt/druid/js/jquery.min.js HTTP/1.1" 200 92931
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:27:23 +0800] "GET /bjsxt/car/toCarManager.action HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:27:25 +0800] "GET /bjsxt/customer/toCustomerManager.action HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:28:44 +0800] "POST /bjsxt/druid/submitLogin HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:28:54 +0800] "POST /bjsxt/druid/submitLogin HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:30:21 +0800] "GET /bjsxt/index.jsp HTTP/1.1" 200 3627
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:31:11 +0800] "GET /bjsxt/resources/index.html HTTP/1.1" 200 10596
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:31:11 +0800] "GET /bjsxt/resources/page/main.html HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:31:11 +0800] "GET /bjsxt/resources/js/main.js HTTP/1.1" 200 4145
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:31:11 +0800] "GET /bjsxt/resources/json/navs.json HTTP/1.1" 200 2332
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:31:11 +0800] "GET /bjsxt/resources/json/systemParameter.json HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:31:11 +0800] "GET /bjsxt/resources/json/newsList.json HTTP/1.1" 200 8706
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:31:11 +0800] "GET /bjsxt/resources/json/userList.json HTTP/1.1" 200 940
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:31:14 +0800] "GET /bjsxt/resources/page/404.html HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:31:18 +0800] "GET /bjsxt/resources/page/login/login.html HTTP/1.1" 200 2250
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:31:18 +0800] "GET /bjsxt/resources/page/login/login.js HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:31:54 +0800] "GET /layuicms2.0 HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:32:53 +0800] "GET /bjsxt/resources/page/doc/addressDoc.html HTTP/1.1" 200 4275
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:32:53 +0800] "GET /bjsxt/resources/layui/lay/modules/code.js HTTP/1.1" 200 1177
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:32:53 +0800] "GET /bjsxt/resources/layui/css/modules/code.css HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:33:09 +0800] "GET /bjsxt/resources/page/user/userList.html HTTP/1.1" 200 1778
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:33:09 +0800] "GET /bjsxt/resources/page/user/userList.js HTTP/1.1" 200 6182
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:33:09 +0800] "GET /bjsxt/resources/layui/lay/modules/table.js HTTP/1.1" 200 31323
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:33:09 +0800] "GET /bjsxt/resources/layui/lay/modules/laytpl.js HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:33:09 +0800] "GET /bjsxt/resources/layui/lay/modules/laypage.js HTTP/1.1" 200 4472
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:33:09 +0800] "GET /bjsxt/resources/layui/lay/modules/util.js HTTP/1.1" 200 3622
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:33:09 +0800] "GET /bjsxt/resources/json/userList.json?page=1&limit=20 HTTP/1.1" 200 940
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:33:49 +0800] "GET /bjsxt/resources/index.html HTTP/1.1" 200 10596
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:33:49 +0800] "GET /bjsxt/resources/page/main.html HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:33:49 +0800] "GET /bjsxt/resources/js/main.js HTTP/1.1" 200 4145
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:33:50 +0800] "GET /bjsxt/resources/json/navs.json HTTP/1.1" 200 2332
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:33:50 +0800] "GET /bjsxt/resources/json/systemParameter.json HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:33:50 +0800] "GET /bjsxt/resources/json/newsList.json HTTP/1.1" 200 8706
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:33:50 +0800] "GET /bjsxt/resources/json/userList.json HTTP/1.1" 200 940
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:33:55 +0800] "GET /bjsxt/resources/page/404.html HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:33:59 +0800] "GET /bjsxt/resources/page/login/login.html HTTP/1.1" 200 2250
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:33:59 +0800] "GET /bjsxt/resources/page/login/login.js HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:34:09 +0800] "GET /layuicms2.0 HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:34:42 +0800] "GET /bjsxt/resources/page/login/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:37:07 +0800] "POST /bjsxt/login/login.action HTTP/1.1" 200 10282
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:37:07 +0800] "GET /bjsxt/desk/toDeskManager.action HTTP/1.1" 200 4982
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:37:07 +0800] "GET /bjsxt/menu/loadIndexLeftMenuJson.action HTTP/1.1" 200 2994
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:37:07 +0800] "GET /bjsxt/news/loadAllNews.action?page=1&limit=10 HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:37:11 +0800] "GET /bjsxt/car/toCarManager.action HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:37:30 +0800] "POST /bjsxt/login/login.action HTTP/1.1" 200 10282
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:37:30 +0800] "GET /bjsxt/desk/toDeskManager.action HTTP/1.1" 200 4982
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:37:30 +0800] "GET /bjsxt/menu/loadIndexLeftMenuJson.action HTTP/1.1" 200 2994
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:37:30 +0800] "GET /bjsxt/news/loadAllNews.action?page=1&limit=10 HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:37:41 +0800] "GET /bjsxt/rent/toRentCarManager.action HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:37:42 +0800] "GET /bjsxt/rent/toRentManager.action HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:37:44 +0800] "GET /bjsxt/sys/toMenuManager.action HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:37:44 +0800] "GET /bjsxt/sys/toMenuLeft.action HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:37:44 +0800] "GET /bjsxt/sys/toMenuRight.action HTTP/1.1" 200 12040
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:37:44 +0800] "POST /bjsxt/menu/loadMenuManagerLeftTreeJson.action?spread=1 HTTP/1.1" 200 3177
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:37:44 +0800] "GET /bjsxt/menu/loadAllMenu.action?page=1&limit=10 HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:37:44 +0800] "POST /bjsxt/menu/loadMenuManagerLeftTreeJson.action?spread=1 HTTP/1.1" 200 3177
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:37:49 +0800] "GET /bjsxt/role/toRoleManager.action HTTP/1.1" 404 1101
