0:0:0:0:0:0:0:1 - - [05/Dec/2019:11:22:45 +0800] "GET /bjsxt/resources/layui/font/iconfont.woff2?v=250 HTTP/1.1" 200 23140
0:0:0:0:0:0:0:1 - - [05/Dec/2019:11:22:45 +0800] "GET /bjsxt/desk/toDeskManager.action HTTP/1.1" 200 4991
0:0:0:0:0:0:0:1 - - [05/Dec/2019:11:22:45 +0800] "GET /bjsxt/resources/js/bodyTab.js HTTP/1.1" 200 15289
0:0:0:0:0:0:0:1 - - [05/Dec/2019:11:22:46 +0800] "GET /bjsxt/resources/layui/lay/modules/element.js HTTP/1.1" 200 7264
0:0:0:0:0:0:0:1 - - [05/Dec/2019:11:22:46 +0800] "GET /bjsxt/login/favicon.ico HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [05/Dec/2019:11:22:46 +0800] "GET /bjsxt/menu/loadIndexLeftMenuJson.action HTTP/1.1" 200 3000
0:0:0:0:0:0:0:1 - - [05/Dec/2019:11:22:46 +0800] "GET /bjsxt/news/loadAllNews.action?page=1&limit=10 HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [05/Dec/2019:11:25:42 +0800] "GET /bjsxt/news/loadNewsById.action?id=5 HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [05/Dec/2019:11:25:42 +0800] "GET /bjsxt/resources/layui/css/modules/layer/default/icon.png HTTP/1.1" 200 11493
0:0:0:0:0:0:0:1 - - [05/Dec/2019:11:51:07 +0800] "POST /bjsxt/login/login.action HTTP/1.1" 200 10271
0:0:0:0:0:0:0:1 - - [05/Dec/2019:11:51:07 +0800] "GET /bjsxt/desk/toDeskManager.action HTTP/1.1" 200 4991
0:0:0:0:0:0:0:1 - - [05/Dec/2019:11:51:07 +0800] "GET /bjsxt/menu/loadIndexLeftMenuJson.action HTTP/1.1" 200 3000
0:0:0:0:0:0:0:1 - - [05/Dec/2019:11:51:07 +0800] "GET /bjsxt/news/loadAllNews.action?page=1&limit=10 HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [05/Dec/2019:11:52:10 +0800] "GET /bjsxt/desk/toDeskManager.action HTTP/1.1" 200 4991
0:0:0:0:0:0:0:1 - - [05/Dec/2019:11:52:10 +0800] "GET /bjsxt/news/loadAllNews.action?page=1&limit=10 HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [05/Dec/2019:11:52:16 +0800] "GET /bjsxt/desk/toDeskManager.action HTTP/1.1" 200 4991
0:0:0:0:0:0:0:1 - - [05/Dec/2019:11:52:16 +0800] "GET /bjsxt/news/loadAllNews.action?page=1&limit=10 HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [05/Dec/2019:11:52:46 +0800] "POST /bjsxt/login/login.action HTTP/1.1" 200 10271
0:0:0:0:0:0:0:1 - - [05/Dec/2019:11:52:46 +0800] "GET /bjsxt/desk/toDeskManager.action HTTP/1.1" 200 4991
0:0:0:0:0:0:0:1 - - [05/Dec/2019:11:52:46 +0800] "GET /bjsxt/menu/loadIndexLeftMenuJson.action HTTP/1.1" 200 3000
0:0:0:0:0:0:0:1 - - [05/Dec/2019:11:52:46 +0800] "GET /bjsxt/news/loadAllNews.action?page=1&limit=10 HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:02:46 +0800] "POST /bjsxt/login/login.action HTTP/1.1" 200 10271
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:02:47 +0800] "GET /bjsxt/menu/loadIndexLeftMenuJson.action HTTP/1.1" 200 3000
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:02:47 +0800] "GET /bjsxt/desk/toDeskManager.action HTTP/1.1" 200 4988
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:02:47 +0800] "GET /bjsxt/news/loadAllNews.action?page=1&limit=10 HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:03:46 +0800] "POST /bjsxt/login/login.action HTTP/1.1" 200 10277
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:03:46 +0800] "GET /bjsxt/desk/toDeskManager.action HTTP/1.1" 200 4988
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:03:46 +0800] "GET /bjsxt/menu/loadIndexLeftMenuJson.action HTTP/1.1" 200 3000
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:03:46 +0800] "GET /bjsxt/news/loadAllNews.action?page=1&limit=10 HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:06:12 +0800] "POST /bjsxt/login/login.action HTTP/1.1" 200 10265
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:06:12 +0800] "GET /bjsxt/desk/toDeskManager.action HTTP/1.1" 200 4982
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:06:12 +0800] "GET /bjsxt/menu/loadIndexLeftMenuJson.action HTTP/1.1" 200 3000
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:06:12 +0800] "GET /bjsxt/news/loadAllNews.action?page=1&limit=10 HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:06:36 +0800] "POST /bjsxt/login/login.action HTTP/1.1" 200 10265
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:06:36 +0800] "GET /bjsxt/desk/toDeskManager.action HTTP/1.1" 200 4982
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:06:36 +0800] "GET /bjsxt/menu/loadIndexLeftMenuJson.action HTTP/1.1" 200 3000
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:06:36 +0800] "GET /bjsxt/news/loadAllNews.action?page=1&limit=10 HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:07:29 +0800] "POST /bjsxt/login/login.action HTTP/1.1" 200 10282
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:07:30 +0800] "GET /bjsxt/desk/toDeskManager.action HTTP/1.1" 200 4982
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:07:30 +0800] "GET /bjsxt/menu/loadIndexLeftMenuJson.action HTTP/1.1" 200 3000
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:07:30 +0800] "GET /bjsxt/news/loadAllNews.action?page=1&limit=10 HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:08:24 +0800] "GET /bjsxt/customer/toCustomerManager.action HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:08:27 +0800] "GET /bjsxt/customer/toCustomerManager.action HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:08:28 +0800] "GET /bjsxt/car/toCarManager.action HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:09:54 +0800] "GET /bjsxt/customer/toCustomerManager.action HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:14:52 +0800] "POST /bjsxt/login/login.action HTTP/1.1" 200 10282
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:14:52 +0800] "GET /bjsxt/desk/toDeskManager.action HTTP/1.1" 200 4982
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:14:52 +0800] "GET /bjsxt/menu/loadIndexLeftMenuJson.action HTTP/1.1" 200 3000
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:14:52 +0800] "GET /bjsxt/news/loadAllNews.action?page=1&limit=10 HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:15:05 +0800] "GET /bjsxt/tjfx/toCustomerAreaTj.action HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:15:06 +0800] "GET /bjsxt/tjfx/toYearSaleMoneyTj.action HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:15:07 +0800] "GET /bjsxt/tjfx/toOpernameSalMoneyYearTj.action HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:15:59 +0800] "POST /bjsxt/login/login.action HTTP/1.1" 200 10282
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:15:59 +0800] "GET /bjsxt/desk/toDeskManager.action HTTP/1.1" 200 4982
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:15:59 +0800] "GET /bjsxt/menu/loadIndexLeftMenuJson.action HTTP/1.1" 200 2994
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:15:59 +0800] "GET /bjsxt/news/loadAllNews.action?page=1&limit=10 HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:16:06 +0800] "GET /bjsxt/news/loadNewsById.action?id=5 HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:16:51 +0800] "GET /bjsxt/car/toCarManager.action HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:16:53 +0800] "GET /bjsxt/customer/toCustomerManager.action HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:18:05 +0800] "GET /bjsxt/user/toUserManager.action HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:18:06 +0800] "GET /bjsxt/role/toRoleManager.action HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:18:07 +0800] "GET /bjsxt/sys/toMenuManager.action HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:18:07 +0800] "GET /bjsxt/sys/toMenuLeft.action HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:18:07 +0800] "GET /bjsxt/sys/toMenuRight.action HTTP/1.1" 200 12040
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:18:07 +0800] "GET /bjsxt/resources/layui_ext/dtree/dtree.css HTTP/1.1" 200 5227
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:18:07 +0800] "GET /bjsxt/resources/layui_ext/dtree/font/dtreefont.css HTTP/1.1" 200 4292
